# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.29086e-05 to 1.05742 h/Mpc,
# number of wavenumbers equal to 111
# d_kessence   stands for (\pi)(k,z) with above normalization, kessence field perturbation
# t_kessence stands for (\pi’)(k,z) with above normalization, kessence field derivative perturbation
#
#	1:k (1/Mpc)              2:d_kess                    3:t_kess 
1.338788507463e-05	-2.304577997119e+03	3.878349027802e-02
1.685434328358e-05	-2.304574995433e+03	3.878349044063e-02
2.121837313433e-05	-2.304570992763e+03	3.878371069834e-02
2.671234328358e-05	-2.304563988530e+03	3.878397110678e-02
3.362885074627e-05	-2.304550981821e+03	3.878399175414e-02
4.233620895522e-05	-2.304531971188e+03	3.878432278010e-02
5.329813432836e-05	-2.304502954337e+03	3.878496440606e-02
6.709837313433e-05	-2.304454927630e+03	3.878564698301e-02
8.447185074627e-05	-2.304379885305e+03	3.878694106685e-02
1.063437611940e-04	-2.304260818230e+03	3.878895753857e-02
1.338788507463e-04	-2.304073711939e+03	3.879206779377e-02
1.685434328358e-04	-2.303777543517e+03	3.879674404283e-02
2.121837313433e-04	-2.303312276677e+03	3.880367978468e-02
2.671234328358e-04	-2.302581853991e+03	3.881329055660e-02
3.362885074627e-04	-2.301446184637e+03	3.882555511200e-02
4.233620895522e-04	-2.299694125133e+03	3.883830727570e-02
5.329813432836e-04	-2.297030449135e+03	3.884466885520e-02
6.709837313433e-04	-2.293056800284e+03	3.882966420010e-02
8.447185074627e-04	-2.287270618850e+03	3.877016731800e-02
1.063437611940e-03	-2.279054028400e+03	3.864642284400e-02
1.338788507463e-03	-2.267616662230e+03	3.845662273700e-02
1.685434328358e-03	-2.251923401680e+03	3.819566143100e-02
2.121837313433e-03	-2.230685986890e+03	3.783841348400e-02
2.671234328358e-03	-2.202361449800e+03	3.736284822000e-02
3.362885074627e-03	-2.165177309400e+03	3.673939730000e-02
4.233620895522e-03	-2.117197469200e+03	3.593677102000e-02
5.329813432836e-03	-2.056369793600e+03	3.492374573000e-02
6.709837313433e-03	-1.980561377600e+03	3.366091775000e-02
8.447185074627e-03	-1.887685937900e+03	3.212503192000e-02
1.063437611940e-02	-1.775645831000e+03	3.027926500000e-02
1.338788507463e-02	-1.642465934000e+03	2.809911670000e-02
1.685434328358e-02	-1.486621952000e+03	2.556286900000e-02
2.121837313433e-02	-1.308211145000e+03	2.267568360000e-02
2.671217910448e-02	-1.111648372000e+03	1.951166220000e-02
3.360795522388e-02	-9.103998660000e+02	1.629321640000e-02
4.167885074627e-02	-7.377393980000e+02	1.357320550000e-02
4.837979104478e-02	-6.384574800000e+02	1.206408950000e-02
5.325910447761e-02	-5.848363400000e+02	1.128904700000e-02
5.729940298507e-02	-5.486146100000e+02	1.079125100000e-02
6.091465671642e-02	-5.203426700000e+02	1.041728700000e-02
6.429077611940e-02	-4.961312700000e+02	1.010431600000e-02
6.752667164179e-02	-4.740490300000e+02	9.819912000000e-03
7.068189552239e-02	-4.530448900000e+02	9.546035000000e-03
7.379568656716e-02	-4.325492100000e+02	9.273020000000e-03
7.689576119403e-02	-4.122834400000e+02	8.995558000000e-03
8.000285074627e-02	-3.921734800000e+02	8.712230000000e-03
8.313317910448e-02	-3.722923600000e+02	8.425111000000e-03
8.630001492537e-02	-3.528112400000e+02	8.137678000000e-03
8.951455223881e-02	-3.339700100000e+02	7.856025000000e-03
9.278658208955e-02	-3.160309400000e+02	7.586309000000e-03
9.612483582090e-02	-2.992510200000e+02	7.335602000000e-03
9.953729850746e-02	-2.838374900000e+02	7.110077000000e-03
1.030314328358e-01	-2.699193200000e+02	6.914645000000e-03
1.066142985075e-01	-2.575189600000e+02	6.751687000000e-03
1.102926716418e-01	-2.465397700000e+02	6.620778000000e-03
1.140730895522e-01	-2.367638800000e+02	6.517915000000e-03
1.179619850746e-01	-2.278732200000e+02	6.436091000000e-03
1.219656567164e-01	-2.194847800000e+02	6.365749000000e-03
1.260903432836e-01	-2.111979300000e+02	6.295448000000e-03
1.303422238806e-01	-2.026628900000e+02	6.214322000000e-03
1.347274776119e-01	-1.936384200000e+02	6.113270000000e-03
1.392522388060e-01	-1.840463100000e+02	5.987833000000e-03
1.439226567164e-01	-1.739853200000e+02	5.838589000000e-03
1.487448955224e-01	-1.637210400000e+02	5.671873000000e-03
1.537250746269e-01	-1.536304800000e+02	5.499419000000e-03
1.588695522388e-01	-1.441123600000e+02	5.334862000000e-03
1.641844776119e-01	-1.354919400000e+02	5.191359000000e-03
1.696759701493e-01	-1.279213400000e+02	5.077014000000e-03
1.753505970149e-01	-1.213378300000e+02	4.992242000000e-03
1.812146268657e-01	-1.154697700000e+02	4.928559000000e-03
1.872746268657e-01	-1.099406100000e+02	4.871597000000e-03
1.935373134328e-01	-1.043525400000e+02	4.803403000000e-03
2.000094029851e-01	-9.842889000000e+01	4.709639000000e-03
2.066980597015e-01	-9.214796000000e+01	4.585617000000e-03
2.136101492537e-01	-8.573964000000e+01	4.439632000000e-03
2.207537313433e-01	-7.955164000000e+01	4.288069000000e-03
2.281364179104e-01	-7.388465000000e+01	4.147040000000e-03
2.357667164179e-01	-6.888201000000e+01	4.026920000000e-03
2.436535820896e-01	-6.447861000000e+01	3.926825000000e-03
2.518065671642e-01	-6.041925000000e+01	3.833495000000e-03
2.602361194030e-01	-5.641273000000e+01	3.728889000000e-03
2.689535820896e-01	-5.231214000000e+01	3.601718000000e-03
2.779711940299e-01	-4.816803000000e+01	3.453552000000e-03
2.873028358209e-01	-4.417842000000e+01	3.297097000000e-03
