# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=7.29086e-06 to 6 1/Mpc,
# number of wavenumbers equal to 111
# d_kessence   stands for (\pi)(k,z) with above normalization, kessence field perturbation
# t_kessence stands for (\pi’)(k,z) with above normalization, kessence field derivative perturbation
#
#	1:k (1/Mpc)              2:d_kess                    3:t_kess		4:a(t)
7.290995000000e-06	3.020088887856e+02	2.090987182807e-01	1.041870000000e-02
7.460824000000e-06	3.020223176969e+02	2.090973362020e-01	1.041870000000e-02
7.634609000000e-06	3.020155033671e+02	2.090980102964e-01	9.315139000000e-03
7.812442000000e-06	3.020088887861e+02	2.090987182817e-01	9.728116000000e-03
7.994417000000e-06	3.020205684554e+02	2.090974979794e-01	9.728116000000e-03
8.180631000000e-06	3.020218375005e+02	2.090973760141e-01	1.028181000000e-02
8.371182000000e-06	3.020121849511e+02	2.090983052262e-01	9.786540000000e-03
8.566172000000e-06	3.020201576356e+02	2.090975222852e-01	1.041855000000e-02
8.765704000000e-06	3.020223176982e+02	2.090973421720e-01	1.041855000000e-02
8.969883000000e-06	3.020243852101e+02	2.090971087810e-01	9.315139000000e-03
9.178819000000e-06	3.020271614236e+02	2.090967888307e-01	9.727982000000e-03
9.392621000000e-06	3.020248714039e+02	2.090969980657e-01	9.727982000000e-03
9.611403000000e-06	3.020088656794e+02	2.090986182855e-01	1.028181000000e-02
9.835282000000e-06	3.020088656797e+02	2.090986182860e-01	9.786540000000e-03
1.006437000000e-05	3.020087887886e+02	2.090986182866e-01	1.041853000000e-02
1.029880000000e-05	3.020103452459e+02	2.090984874841e-01	1.041853000000e-02
1.053869000000e-05	3.020118085702e+02	2.090982550842e-01	9.315139000000e-03
1.078417000000e-05	3.020087887895e+02	2.090985413971e-01	9.727961000000e-03
1.103537000000e-05	3.020156348387e+02	2.090978763422e-01	9.727961000000e-03
1.129241000000e-05	3.020203486334e+02	2.090973930199e-01	1.028181000000e-02
1.155545000000e-05	3.020172962956e+02	2.090977493166e-01	9.786540000000e-03
1.182461000000e-05	3.020087813946e+02	2.090986183391e-01	1.041835000000e-02
1.210004000000e-05	3.020207282139e+02	2.090973395650e-01	1.041835000000e-02
1.238189000000e-05	3.020163480888e+02	2.090978346119e-01	9.315139000000e-03
1.267030000000e-05	3.020140938343e+02	2.090980514347e-01	9.727790000000e-03
1.296543000000e-05	3.020086887927e+02	2.090984414034e-01	9.727790000000e-03
1.326743000000e-05	3.020086656846e+02	2.090985182957e-01	1.028181000000e-02
1.357647000000e-05	3.020086656851e+02	2.090985182967e-01	9.786540000000e-03
1.389270000000e-05	3.020086656856e+02	2.090985182978e-01	1.041834000000e-02
1.421631000000e-05	3.020163776205e+02	2.090976708498e-01	1.041834000000e-02
1.454745000000e-05	3.020085887954e+02	2.090984414087e-01	9.315139000000e-03
1.488630000000e-05	3.020085887960e+02	2.090984183013e-01	9.727783000000e-03
1.523305000000e-05	3.020239572789e+02	2.090968315521e-01	9.727783000000e-03
1.558787000000e-05	3.020085656887e+02	2.090983414125e-01	1.028181000000e-02
1.595096000000e-05	3.020085656894e+02	2.090983183053e-01	9.786540000000e-03
1.632250000000e-05	3.020096529229e+02	2.090982030273e-01	1.041809000000e-02
1.670270000000e-05	3.020093615124e+02	2.090982270088e-01	1.041809000000e-02
1.709176000000e-05	3.020209247759e+02	2.090969624355e-01	9.315139000000e-03
1.748988000000e-05	3.020084656926e+02	2.090982183116e-01	9.727542000000e-03
1.789727000000e-05	3.020136427411e+02	2.090976908282e-01	9.727542000000e-03
1.831415000000e-05	3.020083888030e+02	2.090981183152e-01	1.028181000000e-02
1.874074000000e-05	3.020233677500e+02	2.090965209766e-01	9.786540000000e-03
1.917727000000e-05	3.020257539497e+02	2.090962250475e-01	1.041831000000e-02
1.962397000000e-05	3.020233292174e+02	2.090964627375e-01	1.041831000000e-02
2.008107000000e-05	3.020242691918e+02	2.090962956355e-01	9.315139000000e-03
2.054882000000e-05	3.020210227072e+02	2.090966174277e-01	9.727747000000e-03
2.102746000000e-05	3.020082657009e+02	2.090978183283e-01	9.727747000000e-03
2.151725000000e-05	3.020082657022e+02	2.090978183308e-01	1.028181000000e-02
2.201845000000e-05	3.020081657036e+02	2.090977414421e-01	9.786540000000e-03
2.253133000000e-05	3.020081657050e+02	2.090977183363e-01	1.041808000000e-02
2.305615000000e-05	3.020081657064e+02	2.090976183392e-01	1.041808000000e-02
2.359320000000e-05	3.020152906496e+02	2.090968791613e-01	9.315139000000e-03
2.414275000000e-05	3.020115486170e+02	2.090971800826e-01	9.727537000000e-03
2.470511000000e-05	3.020225724797e+02	2.090959389461e-01	9.727537000000e-03
2.528057000000e-05	3.020240416296e+02	2.090957431735e-01	1.028181000000e-02
2.586943000000e-05	3.020205129535e+02	2.090960283325e-01	9.786540000000e-03
2.647200000000e-05	3.020230106363e+02	2.090957620786e-01	1.041798000000e-02
2.708862000000e-05	3.020120293878e+02	2.090967876971e-01	1.041798000000e-02
2.771959000000e-05	3.020112099404e+02	2.090967976569e-01	9.315139000000e-03
2.836526000000e-05	3.020076657232e+02	2.090970183726e-01	9.727442000000e-03
2.902597000000e-05	3.020244535139e+02	2.090952978980e-01	9.727442000000e-03
2.970208000000e-05	3.020128402528e+02	2.090963088901e-01	1.028181000000e-02
3.039393000000e-05	3.020101064370e+02	2.090965366657e-01	9.786540000000e-03
3.110189000000e-05	3.020074426246e+02	2.090966183925e-01	1.041797000000e-02
3.182635000000e-05	3.020073657360e+02	2.090965183980e-01	1.041797000000e-02
