# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 189.472 h/Mpc,
# number of wavenumbers equal to 637
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:t_g                    8:t_b                    9:t_cdm                 10:t_ur                  11:t_tot              
       1.456739626796e-04      -1.553824201954e+00      -1.165370001992e+00      -1.165370018324e+00      -1.553823906895e+00      -1.176563811371e+00       2.919302054328e-06       2.924912089306e-06       2.924917324345e-06       2.918934217134e-06       2.924697125747e-06 
       1.607115932535e-04      -1.554464601711e+00      -1.165851178855e+00      -1.165851202596e+00      -1.554464166031e+00      -1.177049580867e+00       3.551628762802e-06       3.559911239080e-06       3.559918869826e-06       3.551085039234e-06       3.559593783710e-06 
       1.762092387588e-04      -1.555194871439e+00      -1.166400075351e+00      -1.166400117061e+00      -1.555194229943e+00      -1.177603716189e+00       4.267582985986e-06       4.279531389865e-06       4.279545977186e-06       4.266787480130e-06       4.279076161949e-06 
       1.922237391794e-04      -1.556023314391e+00      -1.167023070037e+00      -1.167023119939e+00      -1.556022420423e+00      -1.178232634877e+00       5.075725701592e-06       5.092680550194e-06       5.092696694045e-06       5.074611915145e-06       5.092031109111e-06 
       2.088166347275e-04      -1.556946921501e+00      -1.167717941301e+00      -1.167718008678e+00      -1.556945681437e+00      -1.178934107722e+00       5.986199450827e-06       6.009752246616e-06       6.009773926434e-06       5.984652782402e-06       6.008849478359e-06 
       2.260547708937e-04      -1.557994449692e+00      -1.168506504670e+00      -1.168506587674e+00      -1.557992762687e+00      -1.179730141052e+00       7.010447099262e-06       7.042810452759e-06       7.042835757790e-06       7.008337288132e-06       7.041566573204e-06 
       2.440109489228e-04      -1.559172819797e+00      -1.169394065789e+00      -1.169394190873e+00      -1.559170509875e+00      -1.180626109406e+00       8.162030817602e-06       8.205933657885e-06       8.205973858919e-06       8.159151622958e-06       8.204250769715e-06 
       2.627646196243e-04      -1.560496757628e+00      -1.170391986093e+00      -1.170392153958e+00      -1.560493653615e+00      -1.181633450081e+00       9.456538310487e-06       9.515537526501e-06       9.515591506566e-06       9.452670545538e-06       9.513275949182e-06 
       2.824026148746e-04      -1.561991553249e+00      -1.171519585908e+00      -1.171519811219e+00      -1.561987411270e+00      -1.182771666038e+00       1.091196527250e-05       1.099069519437e-05       1.099076761012e-05       1.090680808470e-05       1.098767766797e-05 
       3.030199061975e-04      -1.563670552761e+00      -1.172787254241e+00      -1.172787551995e+00      -1.563665067061e+00      -1.184051231036e+00       1.254939854461e-05       1.265369880632e-05       1.265379451166e-05       1.254257108940e-05       1.264970111731e-05 
       3.247203730558e-04      -1.565563783278e+00      -1.174218096748e+00      -1.174218488977e+00      -1.565556554589e+00      -1.185495454859e+00       1.439301871972e-05       1.453048184904e-05       1.453060792260e-05       1.438402704815e-05       1.452521312445e-05 
       3.476175545344e-04      -1.567701969477e+00      -1.175835896494e+00      -1.175836411860e+00      -1.567692482015e+00      -1.187128324672e+00       1.647084882771e-05       1.665129682212e-05       1.665146248155e-05       1.645905605104e-05       1.664438085892e-05 
