# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.29086e-05 to 1.05742 h/Mpc,
# number of wavenumbers equal to 111
# d_kessence   stands for (\pi)(k,z) with above normalization, kessence field perturbation
# t_kessence stands for (\pi’)(k,z) with above normalization, kessence field derivative perturbation
#
#    1:k (h/Mpc)              2:d_kessence                    3:t_kessence
1.088828955223880568e+00 -5.730260000000004794e-01 4.492679999999998463e-05
9.291232835820895097e-01 -1.003310000000000812e+00 8.608539999999998728e-05
8.284247761194029058e-01 -1.503339999999999677e+00 1.315058000000000242e-04
7.586255223880595810e-01 -2.036639999999998452e+00 1.752764999999999879e-04
7.058798507462686889e-01 -2.599589999999999179e+00 2.243301000000000225e-04
6.634713432835820379e-01 -3.202139999999999986e+00 2.838297999999999841e-04
6.278658208955223419e-01 -3.855940000000000367e+00 3.561915999999999932e-04
5.970374626865670997e-01 -4.574239999999999640e+00 4.417837999999999561e-04
5.697379104477612310e-01 -5.365040000000000475e+00 5.401389599999999701e-04
5.451516417910448054e-01 -6.242759999999996978e+00 6.503901000000000734e-04
5.227195522388059512e-01 -7.212209999999998900e+00 7.710647000000000377e-04
5.020432835820894946e-01 -8.277580000000003935e+00 9.002807999999999948e-04
4.828294029850745961e-01 -9.460800000000002541e+00 1.038114000000000137e-03
4.648564179104477390e-01 -1.076143000000000427e+01 1.182595999999999951e-03
4.479525373134328192e-01 -1.216760000000000019e+01 1.330284499999999891e-03
4.319826865671640981e-01 -1.370094999999999885e+01 1.481638800000000021e-03
4.168380597014925137e-01 -1.539344999999999786e+01 1.638590699999999904e-03
4.024304477611939657e-01 -1.723981999999999815e+01 1.798464200000000120e-03
3.886868656716417347e-01 -1.919789000000000101e+01 1.955516200000000093e-03
3.755465671641791126e-01 -2.126477999999999824e+01 2.108312000000000207e-03
3.629582089552238489e-01 -2.350685999999999964e+01 2.262538000000000136e-03
3.508785074626865619e-01 -2.599186000000000263e+01 2.423083999999999828e-03
3.392700000000000160e-01 -2.868776000000000082e+01 2.585374000000000092e-03
3.281004477611940140e-01 -3.149341000000000079e+01 2.739303000000000224e-03
3.173420895522388041e-01 -3.434196000000000026e+01 2.879108000000000014e-03
3.069701492537313392e-01 -3.730684000000000111e+01 3.011281000000000201e-03
2.969634328358208841e-01 -4.054546999999999457e+01 3.148035999999999890e-03
2.873028358208954969e-01 -4.417841999999999558e+01 3.297096999999999702e-03
2.779711940298507655e-01 -4.816803000000000168e+01 3.453551999999999924e-03
2.689535820895522233e-01 -5.231213999999999942e+01 3.601718000000000280e-03
2.602361194029850222e-01 -5.641272999999999627e+01 3.728888999999999988e-03
2.518065671641790959e-01 -6.041925000000000523e+01 3.833495000000000132e-03
2.436535820895522342e-01 -6.447861000000000331e+01 3.926825000000000107e-03
2.357667164179104435e-01 -6.888201000000000818e+01 4.026919999999999805e-03
2.281364179104477530e-01 -7.388464999999999350e+01 4.147039999999999407e-03
2.207537313432835768e-01 -7.955163999999999191e+01 4.288069000000000255e-03
2.136101492537313129e-01 -8.573964000000000851e+01 4.439632000000000647e-03
2.066980597014925203e-01 -9.214795999999999765e+01 4.585617000000000165e-03
2.000094029850746080e-01 -9.842888999999999555e+01 4.709638999999999839e-03
1.935373134328358113e-01 -1.043525400000000047e+02 4.803402999999999493e-03
1.872746268656716451e-01 -1.099406100000000066e+02 4.871597000000000080e-03
1.812146268656716352e-01 -1.154697699999999827e+02 4.928559000000000759e-03
1.753505970149253634e-01 -1.213378299999999967e+02 4.992242000000000034e-03
1.696759701492537298e-01 -1.279213400000000007e+02 5.077013999999999486e-03
1.641844776119402993e-01 -1.354919399999999996e+02 5.191358999999999557e-03
1.588695522388059445e-01 -1.441123599999999954e+02 5.334861999999999244e-03
1.537250746268656598e-01 -1.536304800000000057e+02 5.499419000000000182e-03
1.487448955223880376e-01 -1.637210399999999879e+02 5.671873000000000019e-03
1.439226567164179071e-01 -1.739853200000000015e+02 5.838588999999999932e-03
1.392522388059701521e-01 -1.840463100000000054e+02 5.987832999999999697e-03
1.347274776119402884e-01 -1.936384199999999964e+02 6.113270000000000509e-03
1.303422238805970190e-01 -2.026628899999999760e+02 6.214321999999999555e-03
1.260903432835820681e-01 -2.111979299999999853e+02 6.295448000000000363e-03
1.219656567164179028e-01 -2.194847800000000007e+02 6.365749000000000407e-03
1.179619850746268656e-01 -2.278732200000000034e+02 6.436090999999999687e-03
1.140730895522387989e-01 -2.367638799999999719e+02 6.517914999999999993e-03
1.102926716417910319e-01 -2.465397699999999759e+02 6.620777999999999906e-03
1.066142985074626653e-01 -2.575189599999999928e+02 6.751686999999999272e-03
1.030314328358208908e-01 -2.699193200000000274e+02 6.914644999999999646e-03
9.953729850746269314e-02 -2.838374900000000025e+02 7.110076999999999370e-03
9.612483582089551004e-02 -2.992510200000000395e+02 7.335602000000000095e-03
9.278658208955223308e-02 -3.160309400000000437e+02 7.586309000000000281e-03
8.951455223880595835e-02 -3.339700100000000020e+02 7.856025000000000855e-03
8.630001492537313357e-02 -3.528112399999999980e+02 8.137678000000000619e-03
8.313317910447760861e-02 -3.722923600000000306e+02 8.425111000000000752e-03
8.000285074626865833e-02 -3.921734800000000405e+02 8.712229999999999627e-03
7.689576119402985466e-02 -4.122834400000000414e+02 8.995558000000000720e-03
7.379568656716417596e-02 -4.325492099999999596e+02 9.273019999999999874e-03
7.068189552238805795e-02 -4.530448900000000094e+02 9.546034999999999590e-03
6.752667164179103343e-02 -4.740490300000000161e+02 9.819912000000000085e-03
