# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.999280e+00   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   3.069448e+00   1.030088e-02   5.581859e+00   3.844350e-10   3.120460e-01
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.999280e+00   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   3.069448e+00   1.030088e-02   5.581859e+00   3.844350e-10   3.120460e-01
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.999280e+00   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   3.069448e+00   1.030088e-02   5.581859e+00   3.440033e-10   3.120460e-01
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   1.499640e+00   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   1.534724e+00   1.030088e-02   5.581859e+00   4.867536e-10   3.120460e-01
